CLients,Branch,Arrival,Start,Waitint Time,Operation,Quantity
Client 25,Bank Branch B,25.61,25.61,0.0,Loan,1214
Client 29,Bank Branch A,29.24,29.24,0.0,Retire,236
Client 27,Bank Branch C,27.96,27.96,0.0,Retire,4900
Client 25,Bank Branch B,25.61,25.61,0.0,Loan,2186
Client 26,Bank Branch B,26.38,27.62,1.25,Invest,445
Client 29,Bank Branch A,29.24,29.24,0.0,Loan,2808
Client 28,Bank Branch C,28.37,30.29,1.92,Deposit,4740
Client 27,Bank Branch C,27.96,27.96,0.0,Retire,4831
Client 26,Bank Branch B,26.38,27.62,1.25,Retire,2711
Client 30,Bank Branch B,29.37,31.77,2.4,Retire,521
Client 29,Bank Branch A,29.24,29.24,0.0,Invest,3440
Client 28,Bank Branch C,28.37,30.29,1.92,Deposit,3616
Client 30,Bank Branch B,29.37,31.77,2.4,Deposit,1833
Client 31,Bank Branch C,30.21,32.86,2.65,Invest,2003
Client 29,Bank Branch A,29.24,29.24,0.0,Loan,4728
Client 28,Bank Branch C,28.37,30.29,1.92,Loan,1438
Client 31,Bank Branch C,30.21,32.86,2.65,Invest,2098
Client 30,Bank Branch B,29.37,31.77,2.4,Deposit,2351
Client 35,Bank Branch B,35.56,35.56,0.0,Invest,2666
Client 32,Bank Branch C,31.45,35.15,3.71,Retire,4730
Client 33,Bank Branch C,33.18,36.0,2.82,Retire,4502
Client 32,Bank Branch C,31.45,35.15,3.71,Deposit,2463
Client 35,Bank Branch B,35.56,35.56,0.0,Retire,903
Client 33,Bank Branch C,33.18,36.0,2.82,Loan,4916
Client 37,Bank Branch A,36.99,36.99,0.0,Deposit,558
Client 35,Bank Branch B,35.56,35.56,0.0,Loan,1310
Client 32,Bank Branch C,31.45,35.15,3.71,Deposit,229
Client 38,Bank Branch A,38.21,38.21,0.0,Retire,2703
Client 34,Bank Branch C,33.99,38.73,4.74,Loan,3686
Client 39,Bank Branch A,38.58,38.73,0.16,Invest,286
Client 41,Bank Branch B,39.32,39.32,0.0,Loan,660
Client 36,Bank Branch C,35.65,39.72,4.07,Retire,2056
Client 42,Bank Branch A,39.56,39.94,0.38,Deposit,1501
Client 41,Bank Branch B,39.32,39.32,0.0,Retire,319
Client 39,Bank Branch A,38.58,38.73,0.16,Loan,3276
Client 34,Bank Branch C,33.99,38.73,4.74,Retire,4866
Client 42,Bank Branch A,39.56,39.94,0.38,Deposit,687
Client 40,Bank Branch C,38.7,41.08,2.38,Loan,3891
Client 34,Bank Branch C,33.99,38.73,4.74,Loan,2423
Client 40,Bank Branch C,38.7,41.08,2.38,Invest,1285
Client 44,Bank Branch B,43.2,43.2,0.0,Loan,3894
Client 42,Bank Branch A,39.56,39.94,0.38,Deposit,2197
Client 34,Bank Branch C,33.99,38.73,4.74,Retire,2891
Client 43,Bank Branch C,41.28,44.23,2.95,Invest,695
Client 44,Bank Branch B,43.2,43.2,0.0,Retire,198
Client 45,Bank Branch B,45.12,45.12,0.0,Deposit,747
Client 43,Bank Branch C,41.28,44.23,2.95,Invest,1367
Client 44,Bank Branch B,43.2,43.2,0.0,Retire,4157
Client 45,Bank Branch B,45.12,45.12,0.0,Deposit,2590
Client 44,Bank Branch B,43.2,43.2,0.0,Deposit,311
Client 43,Bank Branch C,41.28,44.23,2.95,Retire,3881
Client 45,Bank Branch B,45.12,45.12,0.0,Loan,3206
Client 46,Bank Branch B,46.9,48.68,1.77,Retire,3767
Client 48,Bank Branch C,48.93,48.93,0.0,Retire,2191
Client 43,Bank Branch C,41.28,44.23,2.95,Invest,3478
Client 45,Bank Branch B,45.12,45.12,0.0,Deposit,2057
Client 48,Bank Branch C,48.93,48.93,0.0,Loan,1447
Client 47,Bank Branch B,47.99,49.93,1.95,Loan,2868
Client 49,Bank Branch C,49.91,50.6,0.69,Invest,4635
Client 50,Bank Branch C,51.06,51.5,0.44,Invest,2549
Client 51,Bank Branch A,52.19,52.19,0.0,Deposit,3947
Client 49,Bank Branch C,49.91,50.6,0.69,Invest,1723
Client 51,Bank Branch A,52.19,52.19,0.0,Retire,3387
Client 50,Bank Branch C,51.06,51.5,0.44,Retire,132
Client 49,Bank Branch C,49.91,50.6,0.69,Invest,533
Client 51,Bank Branch A,52.19,52.19,0.0,Loan,229
Client 50,Bank Branch C,51.06,51.5,0.44,Loan,2444
Client 49,Bank Branch C,49.91,50.6,0.69,Retire,2995
Client 54,Bank Branch A,55.58,55.58,0.0,Deposit,2558
Client 55,Bank Branch A,56.23,56.23,0.0,Deposit,4562
Client 50,Bank Branch C,51.06,51.5,0.44,Retire,1583
Client 52,Bank Branch C,53.5,56.85,3.35,Loan,1455
Client 56,Bank Branch B,57.41,57.41,0.0,Invest,764
Client 57,Bank Branch C,57.56,58.27,0.71,Invest,4096
Client 56,Bank Branch B,57.41,57.41,0.0,Deposit,3451
Client 59,Bank Branch B,58.41,58.41,0.0,Invest,914
Client 55,Bank Branch A,56.23,56.23,0.0,Deposit,1483
Client 53,Bank Branch C,54.84,58.17,3.33,Deposit,881
Client 57,Bank Branch C,57.56,58.27,0.71,Loan,1231
Client 60,Bank Branch B,59.33,59.74,0.41,Invest,1346
Client 53,Bank Branch C,54.84,58.17,3.33,Invest,2984
Client 59,Bank Branch B,58.41,58.41,0.0,Deposit,2540
Client 61,Bank Branch A,60.28,60.28,0.0,Loan,759
Client 57,Bank Branch C,57.56,58.27,0.71,Loan,1347
Client 60,Bank Branch B,59.33,59.74,0.41,Invest,4714
Client 62,Bank Branch A,60.63,60.63,0.0,Loan,1027
Client 59,Bank Branch B,58.41,58.41,0.0,Invest,4195
Client 58,Bank Branch C,58.33,61.16,2.83,Retire,623
Client 61,Bank Branch A,60.28,60.28,0.0,Invest,4916
Client 61,Bank Branch A,60.28,60.28,0.0,Retire,142
Client 62,Bank Branch A,60.63,60.63,0.0,Invest,4812
Client 59,Bank Branch B,58.41,58.41,0.0,Invest,843
Client 58,Bank Branch C,58.33,61.16,2.83,Retire,4793
Client 61,Bank Branch A,60.28,60.28,0.0,Loan,916
Client 58,Bank Branch C,58.33,61.16,2.83,Retire,137
Client 63,Bank Branch A,60.65,64.28,3.64,Retire,2548
Client 66,Bank Branch C,64.74,64.74,0.0,Loan,2189
Client 64,Bank Branch A,62.58,65.57,2.99,Invest,3592
Client 63,Bank Branch A,60.65,64.28,3.64,Deposit,2075
Client 68,Bank Branch B,65.41,65.41,0.0,Invest,1922
Client 67,Bank Branch C,65.25,65.91,0.66,Loan,4169
Client 66,Bank Branch C,64.74,64.74,0.0,Retire,3672
Client 68,Bank Branch B,65.41,65.41,0.0,Retire,370
Client 64,Bank Branch A,62.58,65.57,2.99,Retire,3984
Client 65,Bank Branch A,62.83,67.18,4.35,Loan,733
Client 72,Bank Branch B,68.37,68.37,0.0,Loan,2687
Client 69,Bank Branch C,65.46,67.89,2.43,Invest,685
Client 66,Bank Branch C,64.74,64.74,0.0,Loan,311
Client 68,Bank Branch B,65.41,65.41,0.0,Invest,1369
Client 64,Bank Branch A,62.58,65.57,2.99,Retire,4721
Client 73,Bank Branch A,68.73,68.73,0.0,Retire,1464
Client 72,Bank Branch B,68.37,68.37,0.0,Retire,627
Client 68,Bank Branch B,65.41,65.41,0.0,Deposit,3263
Client 69,Bank Branch C,65.46,67.89,2.43,Deposit,1545
Client 70,Bank Branch C,66.67,69.75,3.08,Retire,3755
Client 73,Bank Branch A,68.73,68.73,0.0,Invest,4991
Client 64,Bank Branch A,62.58,65.57,2.99,Deposit,4983
Client 69,Bank Branch C,65.46,67.89,2.43,Retire,4406
Client 72,Bank Branch B,68.37,68.37,0.0,Loan,1720
Client 70,Bank Branch C,66.67,69.75,3.08,Deposit,3166
Client 73,Bank Branch A,68.73,68.73,0.0,Loan,3319
Client 76,Bank Branch A,70.19,72.33,2.14,Retire,2460
Client 69,Bank Branch C,65.46,67.89,2.43,Retire,2581
Client 70,Bank Branch C,66.67,69.75,3.08,Deposit,4768
Client 77,Bank Branch A,71.15,73.74,2.59,Loan,1235
Client 71,Bank Branch C,67.44,74.58,7.14,Deposit,2128
Client 76,Bank Branch A,70.19,72.33,2.14,Retire,4510
Client 77,Bank Branch A,71.15,73.74,2.59,Deposit,1915
Client 70,Bank Branch C,66.67,69.75,3.08,Retire,4289
Client 74,Bank Branch C,68.82,75.8,6.99,Loan,1239
Client 76,Bank Branch A,70.19,72.33,2.14,Retire,1702
Client 77,Bank Branch A,71.15,73.74,2.59,Loan,4274
Client 75,Bank Branch C,69.52,76.42,6.9,Deposit,2871
Client 74,Bank Branch C,68.82,75.8,6.99,Retire,1609
Client 80,Bank Branch C,74.52,77.59,3.07,Deposit,4908
Client 84,Bank Branch B,77.19,77.19,0.0,Deposit,291
Client 83,Bank Branch B,76.91,76.91,0.0,Retire,281
Client 76,Bank Branch A,70.19,72.33,2.14,Loan,1663
Client 77,Bank Branch A,71.15,73.74,2.59,Loan,3814
Client 74,Bank Branch C,68.82,75.8,6.99,Loan,1301
Client 80,Bank Branch C,74.52,77.59,3.07,Invest,3884
Client 78,Bank Branch A,72.75,79.04,6.3,Loan,1007
Client 83,Bank Branch B,76.91,76.91,0.0,Deposit,908
Client 85,Bank Branch C,78.84,79.72,0.88,Loan,4486
Client 79,Bank Branch A,74.16,79.23,5.08,Deposit,307
Client 78,Bank Branch A,72.75,79.04,6.3,Deposit,3986
Client 74,Bank Branch C,68.82,75.8,6.99,Invest,843
Client 83,Bank Branch B,76.91,76.91,0.0,Invest,4526
Client 85,Bank Branch C,78.84,79.72,0.88,Loan,4376
Client 78,Bank Branch A,72.75,79.04,6.3,Invest,3686
Client 81,Bank Branch A,75.95,81.15,5.2,Retire,4562
Client 87,Bank Branch C,82.06,82.06,0.0,Loan,2821
Client 85,Bank Branch C,78.84,79.72,0.88,Invest,3694
Client 78,Bank Branch A,72.75,79.04,6.3,Loan,4997
Client 82,Bank Branch A,76.57,82.88,6.31,Loan,4338
Client 88,Bank Branch B,83.15,83.15,0.0,Loan,4299
Client 85,Bank Branch C,78.84,79.72,0.88,Retire,417
Client 88,Bank Branch B,83.15,83.15,0.0,Retire,2445
Client 86,Bank Branch A,80.79,84.51,3.72,Loan,1517
Client 90,Bank Branch B,84.7,84.7,0.0,Invest,2199
Client 82,Bank Branch A,76.57,82.88,6.31,Deposit,3229
Client 91,Bank Branch C,85.92,85.92,0.0,Deposit,1370
Client 86,Bank Branch A,80.79,84.51,3.72,Deposit,2457
Client 89,Bank Branch A,84.2,86.56,2.36,Loan,1355
Client 90,Bank Branch B,84.7,84.7,0.0,Retire,3814
Client 92,Bank Branch B,86.37,86.37,0.0,Invest,4212
Client 89,Bank Branch A,84.2,86.56,2.36,Invest,4003
Client 86,Bank Branch A,80.79,84.51,3.72,Invest,964
Client 90,Bank Branch B,84.7,84.7,0.0,Invest,1599
Client 92,Bank Branch B,86.37,86.37,0.0,Deposit,1640
Client 95,Bank Branch A,89.03,89.03,0.0,Loan,4140
Client 96,Bank Branch C,89.51,89.51,0.0,Retire,356
Client 93,Bank Branch B,87.57,88.87,1.3,Invest,3504
Client 94,Bank Branch B,87.58,89.13,1.55,Retire,924
Client 95,Bank Branch A,89.03,89.03,0.0,Deposit,2143
Client 97,Bank Branch A,90.15,90.15,0.0,Loan,2409
Client 96,Bank Branch C,89.51,89.51,0.0,Invest,2296
Client 93,Bank Branch B,87.57,88.87,1.3,Loan,1908
Client 97,Bank Branch A,90.15,90.15,0.0,Loan,4262
Client 93,Bank Branch B,87.57,88.87,1.3,Deposit,1346
Client 96,Bank Branch C,89.51,89.51,0.0,Deposit,2647
Client 95,Bank Branch A,89.03,89.03,0.0,Invest,1998
Client 99,Bank Branch B,92.73,92.73,0.0,Deposit,4332
Client 96,Bank Branch C,89.51,89.51,0.0,Deposit,153
Client 97,Bank Branch A,90.15,90.15,0.0,Invest,3595
Client 95,Bank Branch A,89.03,89.03,0.0,Retire,3146
Client 99,Bank Branch B,92.73,92.73,0.0,Invest,1557
Client 100,Bank Branch C,94.56,94.56,0.0,Invest,2883
Client 97,Bank Branch A,90.15,90.15,0.0,Invest,1002
Client 98,Bank Branch A,91.82,95.16,3.34,Retire,214
Client 100,Bank Branch C,94.56,94.56,0.0,Invest,3528
Client 99,Bank Branch B,92.73,92.73,0.0,Invest,3741
Client 101,Bank Branch A,95.7,96.48,0.78,Invest,1992
Client 100,Bank Branch C,94.56,94.56,0.0,Invest,2586
Client 99,Bank Branch B,92.73,92.73,0.0,Retire,2171
Client 102,Bank Branch B,97.7,97.7,0.0,Deposit,960
Client 101,Bank Branch A,95.7,96.48,0.78,Loan,2990
Client 103,Bank Branch A,98.32,98.32,0.0,Deposit,2957
Client 102,Bank Branch B,97.7,97.7,0.0,Invest,4652
Client 103,Bank Branch A,98.32,98.32,0.0,Invest,1215
Client 101,Bank Branch A,95.7,96.48,0.78,Loan,250
Client 104,Bank Branch B,99.98,99.98,0.0,Retire,4061
Client 105,Bank Branch C,100.26,100.26,0.0,Retire,4402
Client 101,Bank Branch A,95.7,96.48,0.78,Invest,1942
Client 106,Bank Branch B,101.38,101.38,0.0,Retire,792
Client 104,Bank Branch B,99.98,99.98,0.0,Loan,2751
Client 105,Bank Branch C,100.26,100.26,0.0,Retire,3693
Client 108,Bank Branch A,102.49,102.49,0.0,Loan,3454
Client 107,Bank Branch C,102.12,102.12,0.0,Deposit,2002
Client 106,Bank Branch B,101.38,101.38,0.0,Loan,614
Client 105,Bank Branch C,100.26,100.26,0.0,Invest,996
Client 104,Bank Branch B,99.98,99.98,0.0,Deposit,203
Client 110,Bank Branch B,104.01,104.41,0.39,Invest,3461
Client 107,Bank Branch C,102.12,102.12,0.0,Retire,2987
Client 109,Bank Branch C,103.45,104.79,1.34,Invest,4053
Client 110,Bank Branch B,104.01,104.41,0.39,Loan,2260
Client 111,Bank Branch B,105.35,105.35,0.0,Loan,3876
Client 107,Bank Branch C,102.12,102.12,0.0,Loan,4920
Client 109,Bank Branch C,103.45,104.79,1.34,Retire,4152
Client 112,Bank Branch B,106.02,106.75,0.72,Invest,394
Client 111,Bank Branch B,105.35,105.35,0.0,Invest,3268
Client 115,Bank Branch C,107.81,107.84,0.03,Retire,3877
Client 112,Bank Branch B,106.02,106.75,0.72,Loan,4890
Client 114,Bank Branch A,107.52,107.52,0.0,Invest,1831
Client 113,Bank Branch C,106.09,107.31,1.22,Invest,2908
Client 111,Bank Branch B,105.35,105.35,0.0,Deposit,4689
Client 113,Bank Branch C,106.09,107.31,1.22,Retire,3422
Client 112,Bank Branch B,106.02,106.75,0.72,Invest,1212
Client 116,Bank Branch A,109.11,109.11,0.0,Deposit,4658
Client 114,Bank Branch A,107.52,107.52,0.0,Loan,1588
Client 117,Bank Branch B,110.37,110.37,0.0,Invest,2156
Client 116,Bank Branch A,109.11,109.11,0.0,Loan,2857
Client 118,Bank Branch C,111.28,111.28,0.0,Retire,2370
Client 119,Bank Branch B,111.87,111.87,0.0,Invest,678
Client 117,Bank Branch B,110.37,110.37,0.0,Invest,4699
Client 119,Bank Branch B,111.87,111.87,0.0,Invest,2549
Client 120,Bank Branch A,113.11,113.11,0.0,Deposit,3632
Client 121,Bank Branch C,113.6,113.6,0.0,Deposit,3288
Client 122,Bank Branch C,114.54,114.54,0.0,Retire,4703
Client 119,Bank Branch B,111.87,111.87,0.0,Retire,604
Client 121,Bank Branch C,113.6,113.6,0.0,Invest,135
Client 122,Bank Branch C,114.54,114.54,0.0,Loan,628
Client 123,Bank Branch B,116.18,116.18,0.0,Retire,2104
Client 119,Bank Branch B,111.87,111.87,0.0,Loan,4750
Client 122,Bank Branch C,114.54,114.54,0.0,Invest,1871
Client 124,Bank Branch C,117.59,117.59,0.0,Retire,4179
Client 123,Bank Branch B,116.18,116.18,0.0,Deposit,3129
Client 124,Bank Branch C,117.59,117.59,0.0,Retire,3169
Client 125,Bank Branch B,119.09,119.09,0.0,Invest,3714
Client 123,Bank Branch B,116.18,116.18,0.0,Loan,1248
Client 124,Bank Branch C,117.59,117.59,0.0,Invest,3550
Client 125,Bank Branch B,119.09,119.09,0.0,Loan,837
Client 126,Bank Branch A,120.71,120.71,0.0,Deposit,287
Client 125,Bank Branch B,119.09,119.09,0.0,Retire,550
Client 126,Bank Branch A,120.71,120.71,0.0,Invest,3288
Client 125,Bank Branch B,119.09,119.09,0.0,Invest,1906
Client 127,Bank Branch A,122.52,122.52,0.0,Invest,2211
Client 129,Bank Branch C,123.05,123.05,0.0,Retire,971
Client 126,Bank Branch A,120.71,120.71,0.0,Retire,4427
Client 130,Bank Branch C,124.18,124.18,0.0,Deposit,2254
Client 129,Bank Branch C,123.05,123.05,0.0,Retire,2357
Client 127,Bank Branch A,122.52,122.52,0.0,Retire,3231
Client 128,Bank Branch A,123.03,125.05,2.02,Loan,719
Client 130,Bank Branch C,124.18,124.18,0.0,Invest,1279
Client 129,Bank Branch C,123.05,123.05,0.0,Retire,2312
Client 127,Bank Branch A,122.52,122.52,0.0,Deposit,810
Client 128,Bank Branch A,123.03,125.05,2.02,Invest,4001
Client 130,Bank Branch C,124.18,124.18,0.0,Invest,2689
Client 133,Bank Branch C,127.3,127.69,0.39,Retire,4577
Client 131,Bank Branch A,124.6,127.94,3.35,Loan,1552
Client 128,Bank Branch A,123.03,125.05,2.02,Invest,431
Client 136,Bank Branch B,129.46,129.46,0.0,Deposit,3053
Client 132,Bank Branch A,126.59,129.38,2.79,Retire,1908
Client 133,Bank Branch C,127.3,127.69,0.39,Retire,2310
Client 134,Bank Branch A,127.62,129.93,2.31,Invest,1643
Client 133,Bank Branch C,127.3,127.69,0.39,Retire,2481
Client 135,Bank Branch A,129.03,130.7,1.68,Invest,4626
Client 136,Bank Branch B,129.46,129.46,0.0,Loan,1981
Client 137,Bank Branch C,131.35,131.35,0.0,Retire,429
Client 134,Bank Branch A,127.62,129.93,2.31,Loan,1218
Client 138,Bank Branch C,132.16,132.16,0.0,Deposit,3916
Client 139,Bank Branch C,133.02,133.02,0.0,Deposit,4211
Client 134,Bank Branch A,127.62,129.93,2.31,Retire,3617
Client 140,Bank Branch C,134.19,134.19,0.0,Deposit,3653
Client 139,Bank Branch C,133.02,133.02,0.0,Invest,429
Client 141,Bank Branch B,135.15,135.15,0.0,Retire,2099
Client 140,Bank Branch C,134.19,134.19,0.0,Loan,4180
Client 139,Bank Branch C,133.02,133.02,0.0,Deposit,3979
Client 141,Bank Branch B,135.15,135.15,0.0,Loan,4317
Client 144,Bank Branch B,137.07,137.07,0.0,Retire,3354
Client 142,Bank Branch C,136.14,137.3,1.16,Retire,268
Client 140,Bank Branch C,134.19,134.19,0.0,Invest,2902
Client 141,Bank Branch B,135.15,135.15,0.0,Deposit,1000
Client 142,Bank Branch C,136.14,137.3,1.16,Invest,3736
Client 144,Bank Branch B,137.07,137.07,0.0,Loan,2962
Client 140,Bank Branch C,134.19,134.19,0.0,Retire,2840
Client 141,Bank Branch B,135.15,135.15,0.0,Invest,1070
Client 142,Bank Branch C,136.14,137.3,1.16,Invest,823
Client 147,Bank Branch A,139.47,139.47,0.0,Retire,2009
Client 146,Bank Branch B,139.45,140.14,0.69,Invest,2019
Client 143,Bank Branch C,136.5,140.41,3.91,Invest,3371
Client 149,Bank Branch A,140.74,140.74,0.0,Deposit,1897
Client 148,Bank Branch B,140.04,140.83,0.79,Invest,4431
Client 145,Bank Branch C,137.79,141.19,3.4,Invest,501
Client 147,Bank Branch A,139.47,139.47,0.0,Retire,1187
Client 146,Bank Branch B,139.45,140.14,0.69,Deposit,1932
Client 143,Bank Branch C,136.5,140.41,3.91,Retire,2557
Client 148,Bank Branch B,140.04,140.83,0.79,Retire,4421
Client 150,Bank Branch A,142.49,142.49,0.0,Loan,2378
Client 147,Bank Branch A,139.47,139.47,0.0,Loan,3746
Client 145,Bank Branch C,137.79,141.19,3.4,Invest,167
Client 146,Bank Branch B,139.45,140.14,0.69,Invest,516
Client 148,Bank Branch B,140.04,140.83,0.79,Deposit,4625
Client 150,Bank Branch A,142.49,142.49,0.0,Loan,3429
Client 147,Bank Branch A,139.47,139.47,0.0,Invest,923
Client 145,Bank Branch C,137.79,141.19,3.4,Deposit,527
Client 148,Bank Branch B,140.04,140.83,0.79,Retire,4302
Client 146,Bank Branch B,139.45,140.14,0.69,Deposit,4407
Client 152,Bank Branch A,144.26,145.35,1.09,Deposit,308
Client 151,Bank Branch B,142.93,145.93,3.0,Deposit,370
Client 153,Bank Branch A,145.98,145.98,0.0,Retire,1941
Client 152,Bank Branch A,144.26,145.35,1.09,Deposit,2215
Client 151,Bank Branch B,142.93,145.93,3.0,Deposit,3170
Client 154,Bank Branch B,147.11,147.11,0.0,Retire,1166
Client 153,Bank Branch A,145.98,145.98,0.0,Retire,3223
Client 151,Bank Branch B,142.93,145.93,3.0,Deposit,1987
Client 152,Bank Branch A,144.26,145.35,1.09,Retire,2504
Client 154,Bank Branch B,147.11,147.11,0.0,Deposit,235
Client 151,Bank Branch B,142.93,145.93,3.0,Loan,3327
Client 155,Bank Branch C,148.77,148.77,0.0,Deposit,436
Client 156,Bank Branch A,150.43,150.43,0.0,Invest,1021
Client 157,Bank Branch A,150.58,150.58,0.0,Invest,4150
Client 158,Bank Branch B,150.99,150.99,0.0,Deposit,4819
Client 155,Bank Branch C,148.77,148.77,0.0,Invest,2693
Client 159,Bank Branch C,151.91,151.91,0.0,Loan,2060
Client 156,Bank Branch A,150.43,150.43,0.0,Deposit,4210
Client 158,Bank Branch B,150.99,150.99,0.0,Invest,3819
Client 160,Bank Branch B,152.29,152.29,0.0,Deposit,1282
Client 157,Bank Branch A,150.58,150.58,0.0,Loan,274
Client 159,Bank Branch C,151.91,151.91,0.0,Deposit,3603
Client 157,Bank Branch A,150.58,150.58,0.0,Loan,3070
Client 158,Bank Branch B,150.99,150.99,0.0,Invest,3801
Client 156,Bank Branch A,150.43,150.43,0.0,Loan,2044
Client 162,Bank Branch C,153.98,153.98,0.0,Retire,522
Client 160,Bank Branch B,152.29,152.29,0.0,Deposit,1212
Client 159,Bank Branch C,151.91,151.91,0.0,Deposit,1288
Client 162,Bank Branch C,153.98,153.98,0.0,Deposit,4963
Client 161,Bank Branch B,152.59,155.22,2.63,Loan,4735
Client 160,Bank Branch B,152.29,152.29,0.0,Retire,2664
Client 164,Bank Branch C,155.29,156.18,0.89,Retire,3085
Client 160,Bank Branch B,152.29,152.29,0.0,Retire,2462
Client 166,Bank Branch C,157.29,157.29,0.0,Deposit,2111
Client 161,Bank Branch B,152.59,155.22,2.63,Retire,969
Client 164,Bank Branch C,155.29,156.18,0.89,Invest,3629
Client 163,Bank Branch B,154.41,158.01,3.6,Retire,2139
Client 166,Bank Branch C,157.29,157.29,0.0,Invest,692
Client 161,Bank Branch B,152.59,155.22,2.63,Deposit,4324
Client 167,Bank Branch A,159.01,159.01,0.0,Loan,4339
Client 164,Bank Branch C,155.29,156.18,0.89,Invest,3418
Client 166,Bank Branch C,157.29,157.29,0.0,Retire,3203
Client 167,Bank Branch A,159.01,159.01,0.0,Retire,4729
Client 163,Bank Branch B,154.41,158.01,3.6,Loan,3626
Client 161,Bank Branch B,152.59,155.22,2.63,Retire,2012
Client 166,Bank Branch C,157.29,157.29,0.0,Retire,4796
Client 168,Bank Branch C,159.33,160.5,1.17,Deposit,1971
Client 165,Bank Branch B,156.8,161.46,4.66,Loan,2602
Client 163,Bank Branch B,154.41,158.01,3.6,Invest,2700
Client 169,Bank Branch C,160.41,161.89,1.48,Retire,2938
Client 172,Bank Branch A,161.53,161.53,0.0,Retire,2578
Client 168,Bank Branch C,159.33,160.5,1.17,Retire,4863
Client 173,Bank Branch A,162.61,162.61,0.0,Loan,1614
Client 163,Bank Branch B,154.41,158.01,3.6,Deposit,553
Client 170,Bank Branch B,161.32,162.65,1.33,Invest,3569
Client 172,Bank Branch A,161.53,161.53,0.0,Retire,2109
Client 169,Bank Branch C,160.41,161.89,1.48,Deposit,3209
Client 171,Bank Branch B,161.44,164.1,2.66,Retire,2034
